id,sex,text,time,text/text,text/type
50001,3,теплый приятный,2020-08-13T22:14:02,,
50002,3,кошка,2020-08-13T22:26:43,,
50003,3,я люблю кого то я не слушаю,2020-08-13T22:39:28,,
50004,3,тихая спокойная красивая,2020-08-13T23:03:58,,
50005,3,"Прохлада, спокойствие, тишина",2020-08-13T23:31:47,,
50006,3,офигенно,2020-08-14T00:06:30,,
50007,3,тишина спокойствие украины,2020-08-14T00:07:06,,
50008,3,какашка,2020-08-14T00:07:50,,
50009,3,я королева везде даже здесь,2020-08-14T00:09:46,,
50010,3,спокойная мокрая холодная,2020-08-14T01:26:35,,
50011,3,"отблески солнца, рыбы, кристально чистая вода ",2020-08-14T03:35:09,,
50012,3,"кристально чистая вода, блики солнца, рыбы",2020-08-14T03:36:16,,
50013,3,Голубое большое грязная быстрый,2020-08-14T03:41:35,,
50014,3,Волнующее тихое отражающее быстрое,2020-08-14T03:46:53,,
50015,3,"водопад, дно, фантан",2020-08-14T04:37:24,,
50016,3,"спокойствие, осмысления, принятие ",2020-08-14T04:41:30,,
50017,3,дальше давай,2020-08-14T05:04:53,,
50018,3,"камни с песком, теплая и приятная вода, красивый вид",2020-08-14T05:10:42,,
50019,3,это озеро,2020-08-14T06:46:52,,
50020,3,море тишина,2020-08-14T07:54:09,,
50021,3,голубое голубое,2020-08-14T08:19:24,,
50022,3,соленые большое черное,2020-08-14T08:33:14,,
50023,3,отстань от меня я с ней играю ты моя игра с ней,2020-08-14T09:06:17,,
50024,3,мокро холодно спокойно,2020-08-14T09:27:58,,
50025,3,мокрая жидкая,2020-08-14T09:53:23,,
50026,3,море море,2020-08-14T09:57:28,,
50027,3,включи музыку,2020-08-14T10:00:14,,
50028,3,родина,2020-08-14T10:01:58,,
50029,3,ой,2020-08-14T10:04:31,,
50030,3,ой,2020-08-14T10:06:57,,
50031,3,все не жидкие,2020-08-14T10:18:47,,
50032,3,мне нравится мой продолжай очень хорошо плавать так круто потому что там глубоко,2020-08-14T10:28:36,,
50033,3,прозрачная спокойная голубая,2020-08-14T10:37:13,,
50034,3,лужа грязная холодная никчемная,2020-08-14T11:10:10,,
50035,3,нахуй мне это надо это хуета,2020-08-14T11:13:25,,
50036,3,большой чистый глубокое,2020-08-14T11:15:59,,
50037,3,море холодное темное никчемная медузы хреново за такие все бают акулы пираньи хрена они все плавают и конопля,2020-08-14T11:16:18,,
50038,3,я не знаю как определить,2020-08-14T11:34:01,,
50039,3,объясни подробнее,2020-08-14T11:40:02,,
50040,3,хватит ты меня ссать,2020-08-14T11:40:04,,
50041,3,большое,2020-08-14T11:40:58,,
50042,3,хочет меня писать,2020-08-14T11:43:09,,
50043,3,я хочу кушать,2020-08-14T11:45:17,,
50044,3,секунд мокрый,2020-08-14T11:48:11,,
50045,3,я выбираю море,2020-08-14T11:49:01,,
50046,3,отдых суждение,2020-08-14T11:50:12,,
50047,3,отдых свет и главное купаться,2020-08-14T11:54:58,,
50048,3,бескрайняя теплая ласковая,2020-08-14T12:07:34,,
50049,3,теплый прохладный,2020-08-14T12:23:40,,
50050,3,мелкое глубоко,2020-08-14T12:30:13,,
50051,3,у этого животного большие уши три слова всего всего три слова только три,2020-08-14T12:34:39,,
50052,3,спокойная,2020-08-14T12:47:27,,
50053,3,море теплая соленая полезная,2020-08-14T12:49:00,,
50054,3,спокойствие миротворения,2020-08-14T12:55:34,,
50055,3,шумная соленая успокаивающая,2020-08-14T13:01:57,,
50056,3,бесконечная чья жизнь,2020-08-14T13:12:50,,
50057,3,большой синее глубокое,2020-08-14T13:14:28,,
50058,3,все,2020-08-14T13:28:36,,
50059,3,соленое,2020-08-14T13:33:20,,
50060,3,красивая спокойная умиротворенная,2020-08-14T13:43:57,,
50061,3,море большое синее соленая,2020-08-14T14:00:54,,
50062,3,выкладывай уже,2020-08-14T14:03:00,,
50063,3,облачно я мечтательные отважные,2020-08-14T14:03:11,,
50064,3,что мне надо делать,2020-08-14T14:11:06,,
50065,3,успокойся,2020-08-14T14:13:29,,
50066,3,глубина,2020-08-14T14:23:38,,
50067,3,озеро широкая глубокое спокойное,2020-08-14T14:24:57,,
50068,3,я ничего не поняла,2020-08-14T14:32:40,,
50069,3,бескрайние много воды,2020-08-14T14:45:44,,
50070,3,во первых оно соленое во вторых,2020-08-14T14:52:28,,
50071,3,ракушки песок и вода,2020-08-14T14:52:31,,
50072,3,освежающие чистые жизненно важный,2020-08-14T14:53:11,,
50073,3,краса,2020-08-14T14:59:58,,
50074,3,море теплое вкусное соленое гум гамбола,2020-08-14T15:01:01,,
50075,3,"Глубокое, чистое, волнующееся ",2020-08-14T15:03:39,,
50076,3,маленькая быстрая на всех кого встречает черно белая ушастенькая белая белая белая,2020-08-14T15:09:45,,
50077,3,жидкая прозрачная,2020-08-14T15:27:32,,
50078,3,хорошо,2020-08-14T15:47:15,,
50079,3,следующий вопрос,2020-08-14T16:04:33,,
50080,3,мокро глубоко,2020-08-14T16:12:30,,
50081,3,прекратить игру зачем алиса продолжаем игру,2020-08-14T16:16:07,,
50082,3,спокойствие сон,2020-08-14T16:16:25,,
50083,3,большое,2020-08-14T16:30:18,,
50084,3,сильная,2020-08-14T16:32:38,,
50085,3,теплая и маленькая,2020-08-14T16:52:48,,
50086,3,голубое красивое,2020-08-14T16:58:05,,
50087,3,мне нравится море потому что в нем так классно плавать,2020-08-14T16:59:46,,
50088,3,красивая прозрачная семья,2020-08-14T17:04:43,,
50089,3,счастье здоровье тишина,2020-08-14T17:10:13,,
50090,3,алис давай другую игру,2020-08-14T17:12:58,,
50091,3,шум мне мокрая,2020-08-14T17:31:03,,
50092,3,и мокрые,2020-08-14T17:33:54,,
50093,3,брызни,2020-08-14T17:35:03,,
50094,3,глубокое красивая,2020-08-14T17:38:56,,
50095,3,море,2020-08-14T17:40:05,,
50096,3,да замолчи ты,2020-08-14T17:41:30,,
50097,3,озеро глубокое просторное голубое,2020-08-14T17:43:05,,
50098,3,ручей текущий,2020-08-14T17:46:10,,
50099,3,маленькие животные создания они тоже очень красивые,2020-08-14T17:47:10,,
50100,3,и там красиво многих маленьких состояний,2020-08-14T17:52:03,,
50101,3,большое страшные красивые,2020-08-14T17:55:16,,
50102,3,мокрая красивая,2020-08-14T17:59:56,,
